
 num     #instances         #bytes  class name
----------------------------------------------
   1:         48833        6360136  [C
   2:          4676        4113288  [B
   3:          4903        1363544  [I
   4:         48403        1161672  java.lang.String
   5:          8820         983584  java.lang.Class
   6:         26524         848768  java.util.concurrent.ConcurrentHashMap$Node
   7:          7996         703648  java.lang.reflect.Method
   8:          8005         440456  [Ljava.lang.Object;
   9:         12120         387840  java.util.HashMap$Node
  10:          3339         333440  [Ljava.util.HashMap$Node;
  11:          8199         327960  java.util.LinkedHashMap$Entry
  12:         17503         280048  java.lang.Object
  13:           183         275584  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  14:          3663         205128  java.util.LinkedHashMap
  15:          5921         136224  [Ljava.lang.Class;
  16:          2057         122584  [Ljava.lang.String;
  17:           716          85920  org.springframework.boot.loader.jar.JarEntry
  18:          1624          77952  java.util.HashMap
  19:          1592          76416  org.apache.tomcat.util.buf.ByteChunk
  20:          3130          75120  org.springframework.core.MethodClassKey
  21:          1314          73584  java.lang.invoke.MemberName
  22:           226          69616  [J
  23:          1428          68544  org.apache.tomcat.util.buf.CharChunk
  24:          1388          66624  org.apache.tomcat.util.buf.MessageBytes
  25:          1654          66160  java.lang.ref.SoftReference
  26:          1383          55320  java.util.TreeMap$Entry
  27:          2269          54456  java.util.ArrayList
  28:          1229          49160  java.lang.invoke.MethodType
  29:           403          46440  [Z
  30:          1394          44608  java.util.concurrent.locks.ReentrantLock$NonfairSync
  31:          1365          43680  java.util.Hashtable$Entry
  32:            10          41120  [Ljava.nio.ByteBuffer;
  33:          1230          39360  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  34:           489          39120  java.lang.reflect.Constructor
  35:          1090          34880  com.mysql.cj.conf.BooleanProperty
  36:          1076          34432  java.util.LinkedList
  37:           705          33840  org.springframework.core.ResolvableType
  38:          1299          31176  java.util.LinkedList$Node
  39:           533          29848  java.lang.Package
  40:           871          27872  java.lang.ref.ReferenceQueue
  41:           144          27648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  42:            13          26832  [Lorg.apache.ibatis.ognl.internal.Entry;
  43:           828          26496  java.lang.invoke.DirectMethodHandle
  44:           576          25904  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  45:           807          25824  org.springframework.http.MediaType
  46:           528          25344  java.nio.HeapByteBuffer
  47:           721          23072  org.springframework.boot.loader.jar.AsciiBytes
  48:           576          23040  org.springframework.util.ConcurrentReferenceHashMap$Segment
  49:           889          21336  sun.reflect.annotation.AnnotationInvocationHandler
  50:           326          20864  java.util.concurrent.ConcurrentHashMap
  51:           162          20464  [Ljava.util.Hashtable$Entry;
  52:           426          20448  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  53:           356          19936  org.springframework.core.annotation.TypeMappedAnnotation
  54:           110          19360  org.springframework.beans.factory.support.RootBeanDefinition
  55:           401          19248  ch.qos.logback.classic.Logger
  56:           130          18720  java.text.DecimalFormat
  57:           465          18600  java.math.BigInteger
  58:           580          18560  com.mysql.cj.conf.StringProperty
  59:          1159          18544  java.lang.Integer
  60:           758          18192  sun.reflect.generics.tree.SimpleClassTypeSignature
  61:           724          17376  java.util.concurrent.CopyOnWriteArrayList
  62:           653          15672  java.util.concurrent.ConcurrentLinkedDeque$Node
  63:           130          14560  java.util.GregorianCalendar
  64:           601          14424  java.lang.Class$AnnotationData
